ranking_companies,unicorn,date_joined,country,city,industry,selected_investors,value,lat,lng,capital,population,id_city,year
347,Eat Just,2017-11-30,United States,San Francisco,Consumer & retail,"Khosla Ventures, Horizons Ventures, Founders Fund",2.59,37.7562,-122.443,,3592294.0,1840021543,2017
348,Cribl,2021-08-25,United States,San Francisco,Data management & analytics,"Institutional Venture Partners, CRV, Sequoia Capital",2.5,37.7562,-122.443,,3592294.0,1840021543,2021
349,Vista Global,2017-08-23,United Arab Emirates,Dubai,Other,Rhone Capital,2.5,25.2697,55.3094,admin,2502715.0,1784736618,2017
350,BYTON,2018-04-20,China,Nanjing,Auto & transportation,"FAW Group, Tencent Holdings, Tus Holdings",2.5,32.05,118.7667,admin,7496000.0,1156644065,2018
351,Acronis,2019-09-18,Switzerland,Schaffhausen,Cybersecurity,"Goldman Sachs, VebVentures, Insight Partners",2.5,47.6965,8.6339,admin,36587.0,1756849233,2019
352,Side,2021-03-22,United States,San Francisco,Internet software & services,"Coatue Managemeny, Trinity Ventures, Matrix Partners",2.5,37.7562,-122.443,,3592294.0,1840021543,2021
353,Lenskart,2019-12-20,India,Faridabad,E-commerce & direct-to-consumer,"Chiratae Ventures, PremjiInvest, Softbank",2.5,28.4333,77.3167,,1394000.0,1356013205,2019
354,Infra.Market,2021-02-25,India,Thane,E-commerce & direct-to-consumer,"Accel, Tiger Global Management, Nexus Venture Partners",2.5,19.18,72.9633,,1261517.0,1356681152,2021
355,Varo Bank,2021-09-09,United States,San Francisco,Fintech,"Warburg Pincus, The Rise Fund, HarbourVest Partners",2.5,37.7562,-122.443,,3592294.0,1840021543,2021
356,Cato Networks,2020-11-17,Israel,Tel Aviv-Yafo,Cybersecurity,"Aspect Ventures, SingTel Innov8, Greylock Partners",2.5,32.08,34.78,admin,451523.0,1376401542,2020
357,Aura,2021-06-09,United States,Burlington,Cybersecurity,"Warburg Pincus, General Catalyst",2.5,36.0758,-79.4686,,131043.0,1840013362,2021
358,Vercel,2021-06-23,United States,San Francisco,Internet software & services,"CRV, Accel, Google Ventures",2.5,37.7562,-122.443,,3592294.0,1840021543,2021
359,Sysdig,2021-04-28,United States,San Francisco,Cybersecurity,"Accel, Bain Capital Ventures, Insight Partners",2.5,37.7562,-122.443,,3592294.0,1840021543,2021
360,Zetwerk,2021-08-20,India,Bangalore,Internet software & services,"Sequoia Capital India, Kae Capital, Accel",2.68,12.9699,77.598,admin,13707000.0,1356410365,2021
361,Uniphore,2022-02-16,United States,Palo Alto,Artificial Intelligence,"Chiratae Ventures, March Capital Partners, National Grid Partners",2.5,37.3913,-122.1468,,65364.0,1840020333,2022
362,Somatus,2022-02-23,United States,McLean,Health,"The Blue Venture Fund, Flare Capital Partners, Longitude Capital",2.5,38.9436,-77.1943,,47682.0,1840006018,2022
